est_cod;linea;via;lon;lat;est_name
PV;L1;2;-70.61382996;-33.42540677;Pedro de Valdivia
LE;L1;2;-70.60850871;-33.42199821;Los Leones
TB;L1;2;-70.60207082;-33.41834111;Tobalaba
GO;L1;2;-70.59570732;-33.41653658;El Golf
AL;L1;2;-70.58970467;-33.41527406;Alcantara
EM;L1;2;-70.58334852;-33.41367181;Escuela Militar
MQ;L1;2;-70.56861358;-33.40905871;Manquehue
HM;L1;2;-70.55582417;-33.40784085;Hernando de Magallanes
LD;L1;2;-70.54487627;-33.40779281;Los Dominicos
AV;L2;1;-70.64653007;-33.38067059;Vespucio Norte
ZA;L2;1;-70.64253802;-33.39094759;Zapadores
DO;L2;1;-70.64283333;-33.39677604;Dorsal
EI;L2;1;-70.64325942;-33.40574021;Einstein
CE;L2;1;-70.6437203;-33.4140239;Cementerios
CB;L2;1;-70.64504165;-33.42247649;Cerro Blanco
PT;L2;1;-70.64715889;-33.4296276;Patronato
CA;L2;1;-70.65236163;-33.43299283;Cal y Canto
AN;L2;1;-70.6599778;-33.43815543;Santa Ana
HE;L2;1;-70.66052951;-33.44613379;Los Heroes
TO;L2;1;-70.65870979;-33.45281845;Toesca
PQ;L2;1;-70.65694455;-33.4608401;Parque OHiggins
RO;L2;1;-70.65638058;-33.46983354;Rondizzoni
FR;L2;1;-70.64944426;-33.47647305;Franklin
LL;L2;1;-70.64946207;-33.48256683;El LLano
SM;L2;1;-70.65118187;-33.48860284;San Miguel
LV;L2;1;-70.6532566;-33.49733804;Lo Vial
DE;L2;1;-70.65476226;-33.50259689;Departamental
CN;L2;1;-70.65692449;-33.51019432;Ciudad del Nino
LO;L2;1;-70.65891838;-33.51723165;Lo Ovalle
EP;L2;1;-70.66152313;-33.52651309;El Parron
LC;L2;1;-70.66458163;-33.53796988;La Cisterna
AV;L2;2;-70.64652667;-33.38049027;Vespucio Norte
ZA;L2;2;-70.64232306;-33.39095044;Zapadores
DO;L2;2;-70.64261835;-33.39677889;Dorsal
EI;L2;2;-70.64304442;-33.40574306;Einstein
CE;L2;2;-70.64350529;-33.41402675;Cementerios
CB;L2;2;-70.64482661;-33.42247934;Cerro Blanco
PT;L2;2;-70.64694384;-33.42963045;Patronato
CA;L2;2;-70.65214656;-33.43299569;Cal y Canto
AN;L2;2;-70.65976273;-33.43815831;Santa Ana
HE;L2;2;-70.66031442;-33.44613667;Los Heroes
TO;L2;2;-70.65849468;-33.45282133;Toesca
PQ;L2;2;-70.65672942;-33.46084298;Parque OHiggins
RO;L2;2;-70.65616543;-33.46983642;Rondizzoni
FR;L2;2;-70.64922909;-33.47647591;Franklin
LL;L2;2;-70.64924689;-33.48256969;El LLano
SM;L2;2;-70.65096667;-33.48860571;San Miguel
LV;L2;2;-70.65304137;-33.49734091;Lo Vial
DE;L2;2;-70.65454702;-33.50259976;Departamental
CN;L2;2;-70.65670924;-33.5101972;Ciudad del Nino
LO;L2;2;-70.65870311;-33.51723453;Lo Ovalle
EP;L2;2;-70.66130784;-33.52651598;El Parron
LC;L2;2;-70.66436631;-33.53797278;La Cisterna
TL;L4;1;-70.60142903;-33.41828569;Tobalaba
CO;L4;1;-70.59121657;-33.42633785;Colon
BI;L4;1;-70.58483824;-33.43183501;Bilbao
GA;L4;1;-70.57337006;-33.4387049;Principe de Gales
SB;L4;1;-70.57202936;-33.44618347;Simon Bolivar
EG;L4;1;-70.57087354;-33.45348783;Plaza Egana
OR;L4;1;-70.574003;-33.46251979;Los Orientales
RG;L4;1;-70.5765849;-33.46960443;Grecia
LP;L4;1;-70.57874511;-33.47987076;Los Presidentes
RQ;L4;1;-70.58048743;-33.4882335;Quilin
LT;L4;1;-70.58646446;-33.49888572;Las Torres
